position,id,name,location,abbreviation,gp,wins,losses,OTL,points,winPercent,ROW,goalsFor,goalsAgainst,goalDiff,home_wins,home_losses,home_OTL,away_wins,away_losses,away_OTL,shootout_wins,shootout_losses,season
11,12,San Francisco Pride,San Francisco,SFP,66,34,29,3,71,0.538,32,267,247,20,19,11,3,15,18,0,2,0,75
12,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,34,30,2,70,0.530,34,309,254,55,18,13,2,16,17,0,0,1,75
13,14,New Orleans Specters,New Orleans,NOL,66,31,34,1,63,0.477,29,253,255,-2,19,14,0,12,20,1,2,1,75
14,1,Chicago Syndicate,Chicago,CHI,66,29,34,3,61,0.462,26,248,308,-60,17,15,1,12,19,2,3,1,75
15,10,Minnesota Monarchs,Minnesota,MIN,66,26,36,4,56,0.424,25,228,244,-16,15,16,2,11,20,2,1,3,75
16,8,Calgary Dragons,Calgary,CGY,66,25,39,2,52,0.394,24,201,276,-75,17,15,1,8,24,1,1,2,75
17,3,Toronto North Stars,Toronto,TOR,66,25,40,1,51,0.386,25,244,292,-48,15,17,1,10,23,0,0,1,75
18,4,Manhattan Rage,Manhattan,MAN,66,20,42,4,44,0.333,19,226,332,-106,11,22,0,9,20,4,1,1,75
19,19,Seattle Argonauts,Seattle,SEA,66,7,56,3,17,0.129,5,126,390,-264,6,25,2,1,31,1,2,1,75
20,20,Montreal Patriotes,Montreal,MTL,66,1,64,1,3,0.023,1,139,544,-405,1,32,0,0,32,1,0,1,75
1,7,Baltimore Platoon,Baltimore,BAP,66,52,11,3,107,0.811,51,309,186,123,28,5,0,24,6,3,1,2,76
2,12,San Francisco Pride,San Francisco,SFP,66,50,12,4,104,0.788,46,351,206,145,29,2,2,21,10,2,4,3,76
3,13,Los Angeles Panthers,Los Angeles,LAP,66,50,14,2,102,0.773,46,343,195,148,28,4,1,22,10,1,4,1,76
4,15,Texas Renegades,Texas,TEX,66,47,17,2,96,0.727,44,300,204,96,22,11,0,25,6,2,3,2,76
5,21,Philadelphia Forge,Philadelphia,PHI,66,41,23,2,84,0.636,40,291,221,70,24,9,0,17,14,2,1,1,76
6,14,New Orleans Specters,New Orleans,NOL,66,38,24,4,80,0.606,36,261,226,35,24,8,1,14,16,3,2,1,76
7,0,Buffalo Stampede,Buffalo,BUF,66,37,24,5,79,0.598,36,291,238,53,22,9,2,15,15,3,1,4,76
8,11,Winnipeg Aurora,Winnipeg,WPG,66,36,27,3,75,0.568,36,264,231,33,19,13,1,17,14,2,0,2,76
9,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,33,26,7,73,0.553,30,281,254,27,17,13,3,16,13,4,3,0,76
10,5,New England Wolfpack,New England,NEW,66,32,29,5,69,0.523,31,287,260,27,18,12,3,14,17,2,1,1,76
11,2,Hamilton Steelhawks,Hamilton,HAM,66,31,29,6,68,0.515,29,285,281,4,18,13,2,13,16,4,2,4,76
12,4,Manhattan Rage,Manhattan,MAN,66,31,32,3,65,0.492,30,246,259,-13,22,11,0,9,21,3,1,1,76
13,10,Minnesota Monarchs,Minnesota,MIN,66,31,32,3,65,0.492,26,228,245,-17,17,14,2,14,18,1,5,3,76
14,18,Atlanta Inferno,Atlanta,ATL,66,31,33,2,64,0.485,31,249,254,-5,17,16,0,14,17,2,0,1,76
15,3,Toronto North Stars,Toronto,TOR,66,29,31,6,64,0.485,25,264,305,-41,18,11,4,11,20,2,4,2,76
16,8,Calgary Dragons,Calgary,CGY,66,27,35,4,58,0.439,23,242,315,-73,20,11,2,7,24,2,4,3,76
17,1,Chicago Syndicate,Chicago,CHI,66,22,37,7,51,0.386,21,235,317,-82,13,15,5,9,22,2,1,4,76
18,9,Edmonton Blizzard,Edmonton,EDM,66,17,44,5,39,0.295,16,236,347,-111,11,20,2,6,24,3,1,4,76
19,20,Montreal Patriotes,Montreal,MTL,66,14,48,4,32,0.242,12,168,405,-237,9,21,3,5,27,1,2,1,76
20,19,Seattle Argonauts,Seattle,SEA,66,11,53,2,24,0.182,9,141,323,-182,7,26,0,4,27,2,2,2,76
1,21,Philadelphia Forge,Philadelphia,PHI,66,51,10,5,107,0.811,50,356,206,150,28,2,3,23,8,2,1,4,77
2,12,San Francisco Pride,San Francisco,SFP,66,50,16,0,100,0.758,47,338,203,135,23,10,0,27,6,0,3,0,77
3,15,Texas Renegades,Texas,TEX,66,44,18,4,92,0.697,43,309,215,94,26,4,3,18,14,1,1,2,77
4,18,Atlanta Inferno,Atlanta,ATL,66,44,20,2,90,0.682,42,287,235,52,23,10,0,21,10,2,2,1,77
5,13,Los Angeles Panthers,Los Angeles,LAP,66,43,22,1,87,0.659,42,289,203,86,23,10,0,20,12,1,1,1,77
6,10,Minnesota Monarchs,Minnesota,MIN,66,40,21,5,85,0.644,40,293,221,72,25,6,2,15,15,3,0,2,77
7,0,Buffalo Stampede,Buffalo,BUF,66,40,21,5,85,0.644,37,279,226,53,20,11,2,20,10,3,3,1,77
8,14,New Orleans Specters,New Orleans,NOL,66,40,23,3,83,0.629,40,252,204,48,23,8,2,17,15,1,0,0,77
9,5,New England Wolfpack,New England,NEW,66,40,24,2,82,0.621,38,324,238,86,24,8,1,16,16,1,2,1,77
10,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,37,25,4,78,0.591,37,263,207,56,22,10,1,15,15,3,0,3,77
11,7,Baltimore Platoon,Baltimore,BAP,66,37,26,3,77,0.583,35,292,248,44,22,10,1,15,16,2,2,0,77
12,3,Toronto North Stars,Toronto,TOR,66,30,34,2,62,0.470,28,252,273,-21,19,14,0,11,20,2,2,2,77
13,1,Chicago Syndicate,Chicago,CHI,66,30,35,1,61,0.462,29,260,319,-59,17,15,1,13,20,0,1,1,77
14,2,Hamilton Steelhawks,Hamilton,HAM,66,27,37,2,56,0.424,23,230,301,-71,16,16,1,11,21,1,4,0,77
15,11,Winnipeg Aurora,Winnipeg,WPG,66,26,37,3,55,0.417,26,216,268,-52,18,14,1,8,23,2,0,2,77
16,4,Manhattan Rage,Manhattan,MAN,66,22,42,2,46,0.348,22,245,343,-98,14,19,0,8,23,2,0,1,77
17,8,Calgary Dragons,Calgary,CGY,66,20,40,6,46,0.348,19,210,315,-105,11,18,4,9,22,2,1,1,77
18,19,Seattle Argonauts,Seattle,SEA,66,20,45,1,41,0.311,20,222,308,-86,9,23,1,11,22,0,0,1,77
19,9,Edmonton Blizzard,Edmonton,EDM,66,12,52,2,26,0.197,10,196,368,-172,7,24,2,5,28,0,2,1,77
20,20,Montreal Patriotes,Montreal,MTL,66,7,56,3,17,0.129,7,177,389,-212,7,25,1,0,31,2,0,1,77
1,13,Los Angeles Panthers,Los Angeles,LAP,66,49,12,5,103,0.780,49,332,204,128,25,6,2,24,6,3,0,3,78
2,12,San Francisco Pride,San Francisco,SFP,66,48,15,3,99,0.750,46,353,213,140,26,6,1,22,9,2,2,2,78
3,15,Texas Renegades,Texas,TEX,66,48,15,3,99,0.750,41,300,194,106,27,5,1,21,10,2,7,1,78
4,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,45,14,7,97,0.735,42,315,200,115,26,2,5,19,12,2,3,4,78
5,21,Philadelphia Forge,Philadelphia,PHI,66,43,20,3,89,0.674,42,319,233,86,21,9,3,22,11,0,1,3,78
6,18,Atlanta Inferno,Atlanta,ATL,66,38,22,6,82,0.621,36,284,245,39,25,5,3,13,17,3,2,3,78
7,5,New England Wolfpack,New England,NEW,66,39,23,4,82,0.621,35,298,249,49,22,10,1,17,13,3,4,0,78
8,3,Toronto North Stars,Toronto,TOR,66,38,25,3,79,0.598,35,250,251,-1,23,10,0,15,15,3,3,2,78
9,7,Baltimore Platoon,Baltimore,BAP,66,36,24,6,78,0.591,36,275,238,37,23,6,4,13,18,2,0,4,78
10,8,Calgary Dragons,Calgary,CGY,66,36,24,6,78,0.591,35,255,231,24,24,7,2,12,17,4,1,1,78
11,14,New Orleans Specters,New Orleans,NOL,66,35,27,4,74,0.561,32,253,244,9,19,12,2,16,15,2,3,1,78
12,0,Buffalo Stampede,Buffalo,BUF,66,32,28,6,70,0.530,30,293,283,10,19,12,2,13,16,4,2,2,78
13,10,Minnesota Monarchs,Minnesota,MIN,66,27,32,7,61,0.462,27,233,265,-32,17,11,5,10,21,2,0,6,78
14,11,Winnipeg Aurora,Winnipeg,WPG,66,26,35,5,57,0.432,23,227,272,-45,15,16,2,11,19,3,3,1,78
15,2,Hamilton Steelhawks,Hamilton,HAM,66,25,34,7,57,0.432,23,258,301,-43,15,14,4,10,20,3,2,2,78
16,4,Manhattan Rage,Manhattan,MAN,66,26,37,3,55,0.417,23,226,321,-95,14,17,2,12,20,1,3,0,78
17,19,Seattle Argonauts,Seattle,SEA,66,22,38,6,50,0.379,20,198,293,-95,13,20,0,9,18,6,2,1,78
18,1,Chicago Syndicate,Chicago,CHI,66,18,45,3,39,0.295,17,188,322,-134,12,21,0,6,24,3,1,1,78
19,20,Montreal Patriotes,Montreal,MTL,66,17,48,1,35,0.265,17,210,338,-128,10,22,1,7,26,0,0,0,78
20,9,Edmonton Blizzard,Edmonton,EDM,66,12,50,4,28,0.212,12,173,343,-170,6,25,2,6,25,2,0,2,78
1,12,San Francisco Pride,San Francisco,SFP,66,49,15,2,100,0.758,48,346,203,143,28,5,0,21,10,2,1,0,79
2,13,Los Angeles Panthers,Los Angeles,LAP,66,48,17,1,97,0.735,48,309,221,88,28,5,0,20,12,1,0,0,79
3,15,Texas Renegades,Texas,TEX,66,44,21,1,89,0.674,44,295,234,61,26,7,0,18,14,1,0,1,79
4,21,Philadelphia Forge,Philadelphia,PHI,66,42,21,3,87,0.659,41,330,243,87,25,8,0,17,13,3,1,2,79
5,8,Calgary Dragons,Calgary,CGY,66,41,21,4,86,0.652,35,270,244,26,25,6,2,16,15,2,6,2,79
6,5,New England Wolfpack,New England,NEW,66,39,20,7,85,0.644,35,299,259,40,23,8,2,16,12,5,4,4,79
7,3,Toronto North Stars,Toronto,TOR,66,39,23,4,82,0.621,38,264,216,48,23,9,1,16,14,3,1,2,79
8,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,38,23,5,81,0.614,37,278,231,47,23,10,0,15,13,5,1,4,79
9,7,Baltimore Platoon,Baltimore,BAP,66,37,26,3,77,0.583,35,261,228,33,23,9,1,14,17,2,2,2,79
10,18,Atlanta Inferno,Atlanta,ATL,66,34,26,6,74,0.561,33,287,248,39,19,10,4,15,16,2,1,3,79
11,0,Buffalo Stampede,Buffalo,BUF,66,33,26,7,73,0.553,29,242,239,3,18,12,3,15,14,4,4,1,79
12,14,New Orleans Specters,New Orleans,NOL,66,32,30,4,68,0.515,29,235,233,2,18,14,1,14,16,3,3,2,79
13,19,Seattle Argonauts,Seattle,SEA,66,28,35,3,59,0.447,25,224,290,-66,18,14,1,10,21,2,3,0,79
14,10,Minnesota Monarchs,Minnesota,MIN,66,26,36,4,56,0.424,25,227,264,-37,16,14,3,10,22,1,1,2,79
15,11,Winnipeg Aurora,Winnipeg,WPG,66,25,36,5,55,0.417,22,223,284,-61,15,13,5,10,23,0,3,4,79
16,4,Manhattan Rage,Manhattan,MAN,66,22,35,9,53,0.402,21,238,302,-64,12,16,5,10,19,4,1,6,79
17,20,Montreal Patriotes,Montreal,MTL,66,24,38,4,52,0.394,23,222,284,-62,13,18,2,11,20,2,1,0,79
18,2,Hamilton Steelhawks,Hamilton,HAM,66,21,42,3,45,0.341,17,231,340,-109,11,20,2,10,22,1,4,2,79
19,1,Chicago Syndicate,Chicago,CHI,66,21,43,2,44,0.333,19,224,320,-96,14,18,1,7,25,1,2,2,79
20,9,Edmonton Blizzard,Edmonton,EDM,66,17,45,4,38,0.288,16,239,361,-122,10,21,2,7,24,2,1,1,79
1,18,Atlanta Inferno,Atlanta,ATL,66,54,10,2,110,0.833,52,355,200,155,30,3,0,24,7,2,2,0,80
2,12,San Francisco Pride,San Francisco,SFP,66,46,14,6,98,0.742,45,329,191,138,27,4,2,19,10,4,1,4,80
3,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,43,19,4,90,0.682,43,318,229,89,23,8,2,20,11,2,0,2,80
4,0,Buffalo Stampede,Buffalo,BUF,66,40,21,5,85,0.644,38,276,238,38,23,7,3,17,14,2,2,3,80
5,19,Seattle Argonauts,Seattle,SEA,66,39,20,7,85,0.644,36,284,253,31,24,8,1,15,12,6,3,3,80
6,14,New Orleans Specters,New Orleans,NOL,66,39,23,4,82,0.621,37,265,212,53,20,10,3,19,13,1,2,0,80
7,15,Texas Renegades,Texas,TEX,66,38,24,4,80,0.606,37,277,239,38,21,9,3,17,15,1,1,3,80
8,4,Manhattan Rage,Manhattan,MAN,66,38,24,4,80,0.606,35,265,245,20,20,10,3,18,14,1,3,0,80
9,21,Philadelphia Forge,Philadelphia,PHI,66,38,25,3,79,0.598,38,315,246,69,24,8,1,14,17,2,0,2,80
10,8,Calgary Dragons,Calgary,CGY,66,36,25,5,77,0.583,34,261,243,18,22,9,2,14,16,3,2,3,80
11,13,Los Angeles Panthers,Los Angeles,LAP,66,35,27,4,74,0.561,33,275,243,32,21,10,2,14,17,2,2,1,80
12,7,Baltimore Platoon,Baltimore,BAP,66,32,30,4,68,0.515,31,253,265,-12,23,9,1,9,21,3,1,2,80
13,5,New England Wolfpack,New England,NEW,66,28,34,4,60,0.455,28,258,302,-44,18,13,2,10,21,2,0,2,80
14,3,Toronto North Stars,Toronto,TOR,66,23,35,8,54,0.409,21,220,287,-67,17,15,1,6,20,7,2,2,80
15,2,Hamilton Steelhawks,Hamilton,HAM,66,25,38,3,53,0.402,24,258,311,-53,15,16,2,10,22,1,1,1,80
16,1,Chicago Syndicate,Chicago,CHI,66,23,36,7,53,0.402,19,203,279,-76,13,19,1,10,17,6,4,2,80
17,11,Winnipeg Aurora,Winnipeg,WPG,66,23,39,4,50,0.379,21,225,305,-80,17,14,2,6,25,2,2,0,80
18,20,Montreal Patriotes,Montreal,MTL,66,23,40,3,49,0.371,21,226,287,-61,16,17,0,7,23,3,2,1,80
19,10,Minnesota Monarchs,Minnesota,MIN,66,19,46,1,39,0.295,17,180,326,-146,12,21,0,7,25,1,2,0,80
20,9,Edmonton Blizzard,Edmonton,EDM,66,18,46,2,38,0.288,18,187,329,-142,14,18,1,4,28,1,0,1,80
1,12,San Francisco Pride,San Francisco,SFP,66,47,16,3,97,0.735,46,331,185,146,28,4,1,19,12,2,1,1,81
2,18,Atlanta Inferno,Atlanta,ATL,66,45,16,5,95,0.720,44,293,190,103,26,4,3,19,12,2,1,3,81
3,21,Philadelphia Forge,Philadelphia,PHI,66,41,20,5,87,0.659,40,300,254,46,24,6,3,17,14,2,1,3,81
4,15,Texas Renegades,Texas,TEX,66,42,21,3,87,0.659,39,299,241,58,25,6,2,17,15,1,3,0,81
5,19,Seattle Argonauts,Seattle,SEA,66,40,25,1,81,0.614,39,277,239,38,27,5,1,13,20,0,1,0,81
6,14,New Orleans Specters,New Orleans,NOL,66,38,24,4,80,0.606,36,258,222,36,25,8,0,13,16,4,2,3,81
7,20,Montreal Patriotes,Montreal,MTL,66,38,26,2,78,0.591,37,280,223,57,25,6,2,13,20,0,1,1,81
8,5,New England Wolfpack,New England,NEW,66,36,25,5,77,0.583,34,270,247,23,23,7,3,13,18,2,2,1,81
9,1,Chicago Syndicate,Chicago,CHI,66,36,26,4,76,0.576,35,278,254,24,25,8,0,11,18,4,1,1,81
10,8,Calgary Dragons,Calgary,CGY,66,35,27,4,74,0.561,35,275,259,16,23,10,0,12,17,4,0,1,81
11,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,36,29,1,73,0.553,35,270,247,23,23,9,1,13,20,0,1,0,81
12,13,Los Angeles Panthers,Los Angeles,LAP,66,33,26,7,73,0.553,32,278,244,34,19,9,5,14,17,2,1,2,81
13,7,Baltimore Platoon,Baltimore,BAP,66,32,30,4,68,0.515,30,246,259,-13,19,12,2,13,18,2,2,2,81
14,0,Buffalo Stampede,Buffalo,BUF,66,31,30,5,67,0.508,30,264,247,17,17,14,2,14,16,3,1,2,81
15,11,Winnipeg Aurora,Winnipeg,WPG,66,27,32,7,61,0.462,25,219,251,-32,19,10,4,8,22,3,2,3,81
16,3,Toronto North Stars,Toronto,TOR,66,27,35,4,58,0.439,25,237,275,-38,18,15,0,9,20,4,2,3,81
17,4,Manhattan Rage,Manhattan,MAN,66,26,36,4,56,0.424,23,225,281,-56,15,15,3,11,21,1,3,3,81
18,9,Edmonton Blizzard,Edmonton,EDM,66,24,36,6,54,0.409,22,214,303,-89,15,15,3,9,21,3,2,0,81
19,2,Hamilton Steelhawks,Hamilton,HAM,66,17,46,3,37,0.280,14,240,372,-132,11,21,1,6,25,2,3,1,81
20,10,Minnesota Monarchs,Minnesota,MIN,66,9,54,3,21,0.159,7,155,416,-261,6,26,1,3,28,2,2,2,81
1,8,Calgary Dragons,Calgary,CGY,66,48,15,3,99,0.750,44,296,186,110,29,3,1,19,12,2,4,1,82
2,18,Atlanta Inferno,Atlanta,ATL,66,47,15,4,98,0.742,41,292,198,94,29,3,1,18,12,3,6,1,82
3,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,46,15,5,97,0.735,45,311,193,118,28,5,0,18,10,5,1,3,82
4,19,Seattle Argonauts,Seattle,SEA,66,41,21,4,86,0.652,41,293,227,66,20,11,2,21,10,2,0,2,82
5,9,Edmonton Blizzard,Edmonton,EDM,66,39,22,5,83,0.629,39,304,232,72,24,6,3,15,16,2,0,2,82
6,5,New England Wolfpack,New England,NEW,66,39,24,3,81,0.614,37,297,245,52,20,10,3,19,14,0,2,1,82
7,20,Montreal Patriotes,Montreal,MTL,66,38,26,2,78,0.591,36,236,218,18,26,6,1,12,20,1,2,0,82
8,13,Los Angeles Panthers,Los Angeles,LAP,66,35,23,8,78,0.591,31,290,250,40,20,11,2,15,12,6,4,4,82
9,21,Philadelphia Forge,Philadelphia,PHI,66,34,29,3,71,0.538,31,263,261,2,19,13,1,15,16,2,3,1,82
10,14,New Orleans Specters,New Orleans,NOL,66,33,28,5,71,0.538,31,267,270,-3,21,11,1,12,17,4,2,3,82
11,1,Chicago Syndicate,Chicago,CHI,66,31,29,6,68,0.515,31,274,256,18,16,15,2,15,14,4,0,2,82
12,15,Texas Renegades,Texas,TEX,66,32,30,4,68,0.515,30,227,261,-34,18,15,0,14,15,4,2,2,82
13,11,Winnipeg Aurora,Winnipeg,WPG,66,31,30,5,67,0.508,31,257,274,-17,17,14,2,14,16,3,0,1,82
14,4,Manhattan Rage,Manhattan,MAN,66,30,33,3,63,0.477,29,254,272,-18,18,13,2,12,20,1,1,2,82
15,2,Hamilton Steelhawks,Hamilton,HAM,66,29,33,4,62,0.470,28,239,287,-48,16,15,2,13,18,2,1,3,82
16,0,Buffalo Stampede,Buffalo,BUF,66,24,34,8,56,0.424,24,197,249,-52,14,14,5,10,20,3,0,3,82
17,7,Baltimore Platoon,Baltimore,BAP,66,25,36,5,55,0.417,23,219,271,-52,18,12,3,7,24,2,2,2,82
18,12,San Francisco Pride,San Francisco,SFP,66,21,42,3,45,0.341,19,195,299,-104,12,18,3,9,24,0,2,1,82
19,3,Toronto North Stars,Toronto,TOR,66,21,42,3,45,0.341,18,223,329,-106,16,17,0,5,25,3,3,2,82
20,10,Minnesota Monarchs,Minnesota,MIN,66,16,46,4,36,0.273,14,220,376,-156,10,21,2,6,25,2,2,1,82
1,9,Edmonton Blizzard,Edmonton,EDM,66,52,14,0,104,0.788,52,412,219,193,28,5,0,24,9,0,0,0,83
2,18,Atlanta Inferno,Atlanta,ATL,66,50,14,2,102,0.773,50,342,195,147,27,4,2,23,10,0,0,1,83
3,1,Chicago Syndicate,Chicago,CHI,66,49,15,2,100,0.758,48,318,212,106,24,7,2,25,8,0,1,0,83
4,19,Seattle Argonauts,Seattle,SEA,66,48,14,4,100,0.758,47,347,202,145,29,2,2,19,12,2,1,2,83
5,5,New England Wolfpack,New England,NEW,66,45,16,5,95,0.720,43,332,199,133,22,10,1,23,6,4,2,2,83
6,21,Philadelphia Forge,Philadelphia,PHI,66,44,16,6,94,0.712,41,279,199,80,25,6,2,19,10,4,3,2,83
7,14,New Orleans Specters,New Orleans,NOL,66,42,21,3,87,0.659,42,305,222,83,24,9,0,18,12,3,0,1,83
8,4,Manhattan Rage,Manhattan,MAN,66,42,22,2,86,0.652,41,296,250,46,23,8,2,19,14,0,1,0,83
9,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,40,23,3,83,0.629,38,329,238,91,22,10,1,18,13,2,2,2,83
10,24,Denver Glacier Guardians,Denver,DEN,66,39,26,1,79,0.598,37,306,285,21,18,15,0,21,11,1,2,0,83
11,11,Winnipeg Aurora,Winnipeg,WPG,66,37,26,3,77,0.583,36,254,238,16,21,12,0,16,14,3,1,1,83
12,20,Montreal Patriotes,Montreal,MTL,66,33,30,3,69,0.523,32,260,249,11,19,11,3,14,19,0,1,1,83
13,2,Hamilton Steelhawks,Hamilton,HAM,66,33,30,3,69,0.523,32,245,243,2,18,13,2,15,17,1,1,1,83
14,22,Cincinnati Six,Cincinnati,CIN,66,33,32,1,67,0.508,30,242,252,-10,17,15,1,16,17,0,3,1,83
15,7,Baltimore Platoon,Baltimore,BAP,66,30,32,4,64,0.485,30,261,272,-11,18,14,1,12,18,3,0,1,83
16,23,Nashville Sound,Nashville,NSH,66,31,33,2,64,0.485,28,253,271,-18,15,16,2,16,17,0,3,1,83
17,0,Buffalo Stampede,Buffalo,BUF,66,28,35,3,59,0.447,26,211,244,-33,17,14,2,11,21,1,2,1,83
18,15,Texas Renegades,Texas,TEX,66,26,37,3,55,0.417,26,211,243,-32,15,18,0,11,19,3,0,3,83
19,3,Toronto North Stars,Toronto,TOR,66,20,43,3,43,0.326,19,209,338,-129,11,20,2,9,23,1,1,1,83
20,25,Madison Valkyries,Madison,MAD,66,20,43,3,43,0.326,18,160,274,-114,12,18,3,8,25,0,2,2,83
21,8,Calgary Dragons,Calgary,CGY,66,18,45,3,39,0.295,16,217,358,-141,12,19,2,6,26,1,2,2,83
22,12,San Francisco Pride,San Francisco,SFP,66,13,48,5,31,0.235,13,198,326,-128,10,19,4,3,29,1,0,3,83
23,13,Los Angeles Panthers,Los Angeles,LAP,66,12,51,3,27,0.205,10,160,399,-239,5,25,3,7,26,0,2,2,83
24,10,Minnesota Monarchs,Minnesota,MIN,66,7,57,2,16,0.121,6,138,357,-219,4,27,2,3,30,0,1,1,83
1,9,Edmonton Blizzard,Edmonton,EDM,66,57,8,1,115,0.871,57,464,210,254,28,4,1,29,4,0,0,0,84
2,1,Chicago Syndicate,Chicago,CHI,66,54,10,2,110,0.833,53,342,169,173,30,3,0,24,7,2,1,1,84
3,19,Seattle Argonauts,Seattle,SEA,66,50,12,4,104,0.788,47,360,187,173,25,6,2,25,6,2,3,0,84
4,18,Atlanta Inferno,Atlanta,ATL,66,50,12,4,104,0.788,47,342,238,104,28,5,0,22,7,4,3,2,84
5,4,Manhattan Rage,Manhattan,MAN,66,45,16,5,95,0.720,45,357,225,132,26,6,1,19,10,4,0,1,84
6,5,New England Wolfpack,New England,NEW,66,42,19,5,89,0.674,40,328,227,101,25,7,1,17,12,4,2,3,84
7,21,Philadelphia Forge,Philadelphia,PHI,66,35,22,9,79,0.598,34,272,232,40,20,8,5,15,14,4,1,4,84
8,7,Baltimore Platoon,Baltimore,BAP,66,37,25,4,78,0.591,34,278,260,18,25,7,1,12,18,3,3,2,84
9,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,36,25,5,77,0.583,33,300,254,46,22,8,3,14,17,2,3,3,84
10,14,New Orleans Specters,New Orleans,NOL,66,36,28,2,74,0.561,33,261,264,-3,22,11,0,14,17,2,3,1,84
11,2,Hamilton Steelhawks,Hamilton,HAM,66,35,27,4,74,0.561,32,272,259,13,21,11,1,14,16,3,3,3,84
12,20,Montreal Patriotes,Montreal,MTL,66,35,28,3,73,0.553,34,268,254,14,20,11,2,15,17,1,1,1,84
13,24,Denver Glacier Guardians,Denver,DEN,66,34,28,4,72,0.545,34,264,274,-10,22,10,1,12,18,3,0,3,84
14,0,Buffalo Stampede,Buffalo,BUF,66,30,32,4,64,0.485,27,223,281,-58,17,13,3,13,19,1,3,3,84
15,25,Madison Valkyries,Madison,MAD,66,27,33,6,60,0.455,26,229,300,-71,15,15,3,12,18,3,1,1,84
16,11,Winnipeg Aurora,Winnipeg,WPG,66,27,35,4,58,0.439,26,235,272,-37,19,13,1,8,22,3,1,3,84
17,22,Cincinnati Six,Cincinnati,CIN,66,26,34,6,58,0.439,23,274,324,-50,13,18,2,13,16,4,3,3,84
18,23,Nashville Sound,Nashville,NSH,66,26,36,4,56,0.424,25,264,317,-53,14,17,2,12,19,2,1,0,84
19,13,Los Angeles Panthers,Los Angeles,LAP,66,25,37,4,54,0.409,23,283,351,-68,13,19,1,12,18,3,2,1,84
20,8,Calgary Dragons,Calgary,CGY,66,24,37,5,53,0.402,21,243,358,-115,16,16,1,8,21,4,3,2,84
21,10,Minnesota Monarchs,Minnesota,MIN,66,17,46,3,37,0.280,17,205,327,-122,9,22,2,8,24,1,0,0,84
22,15,Texas Renegades,Texas,TEX,66,16,46,4,36,0.273,15,201,318,-117,9,23,1,7,23,3,1,1,84
23,3,Toronto North Stars,Toronto,TOR,66,16,48,2,34,0.258,13,195,353,-158,9,22,2,7,26,0,3,0,84
24,12,San Francisco Pride,San Francisco,SFP,66,12,48,6,30,0.227,11,188,394,-206,6,23,4,6,25,2,1,4,84
